000.1;KETATAUSAHAAN DAN KERUMAHTANGGAAN
500.10.20.3;Dokumen Penerbitan Sertifikasi Laik Operasi (SLO) Instalasi Tenaga Listrik
500.10.20.4;Dokumen Pembinaan dan pengawasan sertifikat laik operasi (SLO) instalasi tenaga listrik
500.10.20.5;Registrasi Sertifikasi
500.10.21;Akreditasi Ketenagalistrikan
500.10.22;Standarisasi Kompetensi
500.10.23;Standardisasi Nasional Indonesia (SNI) Bidang Ketenagalistrikan
500.10.23.1;Perumusan rancangan SNI bidang ketenagalistrikan
500.10.23.2;Forum konsensus rancangan SNI bidang ketenagalistrikan
500.10.23.3;Program pemberlakuan SNI wajib bidang ketenagalistrikan 
500.10.23.4;Dokumen pengawasan penerapan SNI wajib bidang ketenagalistrikan 
500.10.24;Standardisasi Usaha Penunjang  Ketenagalistrikan
500.10.24.1;Klasifikasi usaha penunjang ketenagalistrikan
500.10.24.2;Kualifikasi usaha penunjang ketenagalistrikan
500.10.24.3;Dokumen  penunjukan LIT (Lembaga Inspeksi Teknis) 
500.10.24.4;Laporan berkala pemegang penunjukan LIT 
500.10.24.5;Laporan hasil pengawasan penunjukan 
500.10.25;Bina Program Mineral dan Batubara
500.10.25.1;Penyiapan dan Perencanaan Program Mineral dan Batubara
500.10.25.2;Rencana Induk Mineral dan Batubara
500.10.25.3;Pengembangan Investasi dan Kerja Sama Bidang Mineral dan Batubara
500.10.25.4;Data dan Informasai Mineral dan Batubara
500.10.25.5;Pelaporan Program Mineral dan Batubara
500.10.25.6;Perencanaan, Penyiapan dan Penawaran Wilayah Kerja (WK) Mineral dan Batubara melalui lelang reguler
500.10.25.7;Data dan Informasi Wilayah Mineral dan Batubara
500.10.25.8;Perencanaan Produksi Mineral dan Batubara
500.10.25.9;Pengembangan dan Pemanfaatan Mineral dan Batubara
500.10.26;Pembinaan Pengusahaan Mineral
500.10.26.1;Ketenagakerjaan
500.10.26.2;Pemberdayaan masyarakat sekitar tambang
500.10.26.3;Penyelesaian perselisihan usaha pertambangan mineral
500.10.26.4;Rekomendasi kegiatan usaha pertambangan mineral
500.10.26.5;Laporan/data kegiatan eksplorasi mineral
500.10.26.6;Pengawasan produksi dan pemasaran mineral (logam, bukan logam batuan, radioaktif, dan mineral jarang)
500.10.26.7;Perizinan  usaha pertambangan mineral
500.10.26.8;Kontrak Karya (KK)
500.10.26.9;Pengelolaan barang Kontrak Karya (KK)
500.10.26.10;Persetujuan Obyek Vital Nasional (OBVITNAS)
500.10.26.11;Persetujuan perubahan saham direksi, komisaris, pada perusahaan mineral
500.10.26.12;Teguran kepada pengusahan Kontrak Karya (KK)
500.10.26.13;Tanggapan kepada pemerintah daerah terkait usaha pertambangan mineral
500.10.26.14;Pedoman/petunjuk teknis pertambangan mineral termasuk rancangan awal sampul dengan rancangan akhir
500.10.26.15;Pelaporan usaha pertambangan mineral
500.10.26.16;Penghargaan usaha pertambangan mineral
500.10.26.17;Penerbitan sertifikat clear and clean (CnC) Izin Usaha Pertambangan (IUP) Mineral
500.10.27;Pembinaan Pengusahaan Batubara
500.10.27.1;Ketenagakerjaan
500.10.27.2;Pemberdayaan masyarakat sekitar tambang
500.10.27.3;Penyelesaian perselisihan usaha pertambangan batubara
500.10.27.4;Rekomendasi kegiatan usaha pertambangan batubara
500.10.27.5;Laporan/data kegiatan eksplorasi batubara
500.10.27.6;Pengawasan produksi dan pemasaran batubara (bitumen padat, batuan aspal, batubara dan gambut), Antara lain: Laporan Produksi dan Penjualan Batubara PKP2B, IUP hingga Laporan Kontrak Penjualan  Pertambangan Batubara
500.10.27.7;Perizinan  Usaha Pertambangan Batubara
500.10.27.8;Perjanjian Karya Pengusahaan Batubara (PKP2B)
500.10.27.9;Pengelolaan Barang Perjanjian Karya Pengusahaan Batubara (PKP2B), Antara lain: Persetujuan  Pengadaan Barang Modal (Masterlist)  
500.10.27.10;Persetujuan Obyek Vital Nasional (OBVITNAS)
500.10.27.11;Persetujuan perubahan saham direksi, komisaris, pada perusahaan Perjanjian Karya Pengusahaan Batubara (PKP2B)
500.10.27.12;Teguran kepada pengusahan Perjanjian Karya Pengusahaan Batubara (PKP2B)
500.10.27.13;Tanggapan kepada pemerintah daerah terkait usaha pertambangan batubara
500.10.27.14;Pedoman/petunjuk teknis pertambangan mineral termasuk rancangan awal sampul dengan rancangan akhir
500.10.27.15;Pelaporan usaha pertambangan batubara
500.10.27.16;Penghargaan usaha pertambangan batubara
500.10.27.17;Penerbitan sertifikat clear and clean (CnC) Izin Usaha Pertambangan (IUP) Batubara
500.10.28;Penerimaan Negara
500.10.28.1;Penerimaan Negara Bukan Pajak
500.10.28.2;Penetapan Bagi Hasil Penerimaan Negara Bukan Pajak (PNBP) 
500.10.28.3;Pelaksanaan Pemeriksaan dan Pengujian PNBP
500.10.29.1;Perumusan RSNI (Rancangan Standar Nasional Indonesia)/ RSKKNI (Rancangan Standar Kompetensi Kerja Nasional Indonesia), Antara lain: Draft Rancangan, Rancangan Standar Nasional 
500.10.29.2;Pengawasan Standardisasi
500.10.29.3;Persetujuan Penunjukkan Kepala/Wakil Kepala Teknik Tambang 
500.10.29.4;Pengawasan Keselamatan Kegiatan dan Keselamatan Pekerja, Antara lain: Laporan Kecelakaan Tambang/Statistik hingga Laporan Hasil Pemeriksaan Keselamatan dan Kesehatan Kerja (K3)
500.10.29.5;Pemeriksaan teknis dan pengujian instalasi dan peralatan tambang, Antara lain: Pemeriksaan dan Pengujian Instalasi dan Peralatan 
500.10.29.6;Analisis Mengenai Dampak Lingkungan (AMDAL)
500.10.29.7;Upaya Pengelolaan Lingkungan (UKL) dan Upaya Pemantauan Lingkungan (UPL)
500.10.29.8;Rekomendasi bahan kimia
500.10.29.9;Pengawasan Pelaksanaan Pengelolaan dan Pemantauan Lingkungan, Antara lain: Laporan Pelaksanaan Rencana Pengelolaan Lingkungan (RKL)/Rencana Pemantauan Lingkungan (RPL) hingga Surat Penetapan Jaminan Pasca Tambang 
500.10.29.10;Laporan berkala teknik dan lingkungan pertambangan/ laporan tahunan, Antara lain: Laporan Bulanan Terjadinya Pencemaran (LPL-5) pelaksanaan reklamasi
500.10.29.11;Pemberian Penghargaan, Antara lain: Pemberian Penghargaan Lingkungan Pertambangan, Pemberian Penghargaan Keselematan Kerja, Dokumen Pengajuan dan Penilaian Tanda Penghargaan lingkungan Pertambangan, Dokumen Pengajuan dan Penilaian Tanda Penghargaan Keselamatan 
500.10.29.12;Pengawasan lingkungan pertambangan
500.10.29.13;Usaha Jasa Mineral dan Batubara
500.10.29.14;Pembinaan dan pengawasan usaha jasa mineral dan batubara 
500.10.29.15;Rekomendasi Teknis, Antara lain: Pengajuan Rekomendasi Teknis, Hasil Evaluasi 
500.10.29.16;Persetujuan Teknis, Antara lain: Pengajuan Persetujuan Teknis, Hasil Evaluasi 
500.10.29.17;Pengawasan Teknis
500.10.29.18;Pengawasan   Konservasi Mineral dan Batubara
500.10.29.19;Peminaan Teknik dan Lingkungan Mineral dan Batubara, Antara lain: Sosialisasi Standardisasi, Bimbingan Teknis 
500.10.30;Program Penelitian dan Pengembangan
500.10.30.1;Rencana Penelitian dan Pengembangan
500.10.30.2;Pengembangan dan inovasi
500.10.30.3;Dokumen penerapan/pemanfaatan/pendayagunaan/replikasi/prototipe hasil penelitian/pengkajian/pengembangan/inovasi 
500.10.30.4;Advokasi dan fasilitasi penelitian, pengembangan dan inovasi
500.10.30.5;Diseminasi hasil penelitian,pengembangan dan penerapan ilmu pengetahuan dan teknologi 
500.10.30.6;Pembinaan penelitian/Pengembangan,pengkajian, dan penerapan ilmu pengetahunan dan teknologi
500.10.30.7;Jaringan Sistem Nasional Penelitian, Pengembangan dan Penerapan ilmu pengetahuan dan teknologi 
500.10.30.8;Data dan informasi hasil penelitian, pengembangan dan penerapan ilmu pengetahuan dan teknologi
500.10.30.9;Master proceeding/ jurnal penelitian, pengembangan dan penerapan ilmu pengetahuan dan teknologi
500.10.30.10;Hak atas kekayaan intelektual (HaKI)
500.10.30.11;Forum komunikasi penelitian, pengembangan dan penerapan ilmu pengetahuan dan teknologi
500.10.30.12;Layanan jasa penelitian, pengembangan,penerapan IPTEK 
500.10.30.13;Sertifikasi personil peneliti bidang Sumber Daya Mineral
500.10.31;Sarana Litbang
500.10.31.1;Administrasi penggunaan peralatan
500.10.31.2;Log-book Peralatan Survei/Peralatan Uji Kalibrasi
500.10.32;Afiliasi
500.10.32.1;Proyek Percontohan
500.10.32.2;Promosi dan Layanan Jasa Teknologi
500.10.32.3;Pembinaan Penelitian dan Pengembangan
500.10.32.4;Penyajian Informasi
500.10.33;Penelitian dan Pengembangan Kegeologian
500.10.33.1;Pemetaaan dan penelitian geologi, geokimia, dan geofisika kelautan
500.10.33.2;Energi Kelautan dan Kewilayahan Penelitian Energi dan kewilayahan pantai
500.10.33.3;Penelitian sumber daya energi dan mineral kelautan
500.10.33.4;Penelitian Sumber Daya Mineral Kelautan
500.10.34;Penelitian dan Pengembangan Teknologi Minyak dan Gas Bumi
500.10.34.1;Teknologi Eksplorasi
500.10.34.2;Teknologi Eksploitasi
500.10.34.3;Laboratorium
500.10.34.4;Study
500.10.34.5;Teknologi Proses
500.10.34.6;Teknologi Aplikasi Produk
500.10.34.7;Teknologi Gas
500.10.35;Penelitian dan Pengembangan Teknologi Mineral Batubara
500.10.35.1;Teknologi Eksploitasi Tambang dan Pengolahan Sumber Daya
500.10.35.2;Teknologi Pengolahan dan Pemanfaatan mineral
500.10.35.3;Teknologi Pemanfaatan Batubara
500.10.36;Penelitian dan Pengembangan Ketenagalistrikan dan Energi Baru Terbarukan 
500.10.36.1;Energi baru terbarukan
500.10.36.2;Teknologi Ketenagalistrikan
500.10.36.3;Lingkungan dan  Konservasi Energi 
500.10.36.4;Penelitian dan Pengembangan Teknologi PLTSa (Pembangkit Listrik Tenaga Sampah)  dan Konservasi Energi
500.11;PERHUBUNGAN
500.11.1;Kebijakan di bidang Perhubungan yang dilakukan oleh Pemerintah Daerah 
500.11.2;Jaringan Prasarana dan Pelayanan  
500.11.2.1;Penentuan lokasi terminal barang tipe pengumpul dan tipe penunjang
500.11.2.2;Penentuan lokasi terminal penumpang tipe A, tipe B, dan tipe C
500.11.2.3;Penetapan lokasi terminal barang utama
500.11.2.4;Standar pelayanan minimal pengoperasian terminal
500.11.2.5;Jaringan trayek angkutan antar kota/provinsi
500.11.2.6;Jaringan lintas pada jaringan jalan primer
500.11.2.7;Penetapan kelas jalan primer
500.11.2.8;Kualifikasi teknis petugas terminal
500.11.2.9;Jaringan transportasi jalan sekunder 
500.11.3;Pengembangan Transportasi Jalan 
500.11.3.1;Sistem informasi dan komunikasi lalu lintas dan angkutan jalan
500.11.3.2;Pengembangan transportasi jalan
500.11.4;Pengujian Kendaraan Bermotor 
500.11.4.1;Pengesahan hasil uji tipe kendaraan bermotor
500.11.4.2;Sertifikasi uji tipe kendaraan bermotor
500.11.4.3;Sertifikasi tenaga penguji kendaraan bermotor
500.11.4.4;Akreditasi unit pengujian kendaraan bermotor
500.11.5;Teknologi Kendaraan Bermotor 
500.11.5.1;Sertifikasi rancang bangun dan rekayasa kendaraan bermotor
500.11.5.2;Pelaksanaan kalibrasi peralatan uji kendaraan bermotor
500.11.5.3;Persyaratan teknis dan laik jalan kendaraan bermotor
500.11.5.4;Harmonisasi dan standardisasi regulasi kendaraan bermotor
500.11.6;Manajemen dan Rekayasa Lalu Lintas
500.11.6.1;Analisa dampak lalu lintas jalan nasional di luar kawasan perkotaan
500.11.6.2;Manajemen dan rekayasa lalu lintas di jalan nasional
500.11.7;Perlengkapan Jalan
500.11.7.1;Pedoman teknis perlengkapan jalan
500.11.7.2;Penimbangan kendaraan bermotor di jalan
500.11.7.3;Akreditasi unit penimbangan kendaraan bermotor
500.11.7.4;Kualifikasi teknis petugas penimbangan kendaraan bermotor
500.11.7.5;Pengadaan, pemasangan, perbaikan, dan pemeliharaan perlengkapan jalan di  jalan nasional
500.11.8;Angkutan Penumpang
500.11.8.1;Tarif angkutan penumpang kelas ekonomi
500.11.8.2;Izin trayek angkutan penumpang untuk trayek lintas batas negara
500.11.8.3;Izin trayek antar kota antar provinsi
500.11.8.4;Izin operasi angkutan pariwisata dan angkutan penumpang tidak dalam trayek  yang wilayah pelayanannya bersifat lintas batas negara & antar kota/provinsi
500.11.8.5;Penilaian kinerja perusahaan angkutan umum
500.11.8.6;Pemberian subsidi angkutan umum
500.11.8.7;Angkutan perintis
500.11.8.8;Penghargaan perusahaan angkutan umum
500.11.9;Angkutan Barang
500.11.9.1;Sistem informasi dan komunikasi lalu lintas dan angkutan jalan
500.11.9.2;Tarif angkutan barang
500.11.9.3;Izin operasi angkutan barang tertentu
500.11.9.4;Pembinaan angkutan barang
500.11.9.5;Izin dispensasi angkutan jalan 
500.11.10;Monitoring Operasional 
500.11.10.1;Pengendalian operasional Lalu Lintas dan Angkutan Jalan
500.11.10.2;Pengawasan, penertiban dan pemberian sanksi administratif terhadap pelanggaran operasional kendaraan angkutan umum yang menjadi kewenangan 
500.11.10.3;Berkas Pelanggaran Perda 
500.11.11;Bimbingan Teknis Penyidik Pegawai Negeri Sipil
500.11.11.1;Pedoman Teknis
500.11.11.2;Penyidikan pelanggaran Lalu Lintas dan Angkutan Jalan oleh Penyidik Pegawai Negeri Sipil (PPNS)
500.11.11.3;Bimtek PPNS
500.11.11.4;Pengusulan pengangkatan dan pemberhentian Penyidik Pegawai Negeri Sipil (PPNS) 
500.11.12;Analisa dan Evaluasi Jaringan Jaringan Transportasi Sungai, Danau dan Penyeberangan
500.11.12.1;Pendataan jaringan transportasi sungai, danau, dan penyeberangan
500.11.12.2;Analisis serta informasi jaringan transportasi sungai, danau, & penyeberangan
500.11.13;Pengembangan Jaringan Jaringan Transportasi Sungai, Danau dan Penyeberangan
500.11.13.1;Pengembangan dan penetapan jaringan transportasi sungai, danau dan penyeberangan (peta jaringan, blueprint jaringan)
500.11.13.2;Pengembangan Sistem Informasi Manajemen (SIM) lalu lintas dan angkutan  sungai, danau dan penyeberangan
500.11.14;Rancang Bangun Sarana Angkutan Sungai, Danau, dan Penyeberangan
500.11.15;Bimbingan Perawatan Sarana Angkutan Sungai, Danau, dan Penyeberangan
500.11.15.1;Perawatan dan pemeliharaan sarana sungai, danau dan penyeberangan
500.11.15.2;Pengawakan dan registrasi sarana angkutan sungai dan danau danau dan penyeberangan
500.11.16;Rancang Bangun Pelabuhan Sungai, Danau dan Penyeberangan
500.11.16.1;Perencanaan dan pembangunan pelabuhan sungai, danau dan penyeberangan
500.11.16.2;Pemberian sertifikasi pelabuhan penyeberangan
500.11.16.3;Rekomendasi penetapan lokasi pelabuhan penyeberangan di lintas nasional dan  internasional
500.11.16.4;Penyelenggaraan, pemeliharaan, perawatan dan perbaikan pelabuhan sungai,  danau dan penyeberangan
500.11.17;Kualifikasi teknis petugas pelabuhan sungai, danau dan penyeberangan
500.11.18;Manajemen Lalu Lintas Sungai, Danau dan Penyeberangan
500.11.18.1;Manajemen lalu lintas
500.11.18.2;Tata cara berlalu lintas di sungai, danau dan penyeberangan
500.11.18.3;Penyidik Pegawai Negeri Sipil bidang lalu lintas dan angkutan sungai & danau
500.11.18.4;Sertifikasi inspektur sungai dan danau dan pejabat pemberangkatan angkutan  sungai dan danau
500.11.19;Alur dan Perambuan Lalu Lintas Sungai, Danau dan Penyeberangan
500.11.19.1;Pengerukan alur pelayaran sungai, danau dan kolam pelabuhan penyeberangan
500.11.19.2;Penetapan kelas alur dan peta alur pelayaran sungai dan danau
500.11.19.3;Perambuan sungai, danau dan penyeberangan
500.11.20;Bimbingan Usaha Angkutan Sungai, Danau dan Penyeberangan
500.11.20.1;Penyelenggaraan angkutan sungai, danau dan penyeberangan
500.11.20.2;Persetujuan operasi kapal penyeberangan di lintas nasional dan internasional
500.11.21;Tarif dan Keperintisan
500.11.21.1;Perhitungan tarif, pemantauan tarif angkutan dan jasa pelabuhan sungai,  danau dan penyeberangan
500.11.21.2;Kriteria dan pelaksanaan pelayanan keperintisan
500.11.22;Bina Sistem Transportasi Perkotaan
500.11.22.1;Jaringan Transportasi Perkotaan
500.11.22.2;Transportasi perkotaan yang berbasis jalan, jalan rel dan perairan daratan
500.11.22.3;Transportasi perkotaan untuk kawasan perkotaan yang melebihi satu wilayah  administrasi provinsi
500.11.23;Lalu Lintas Perkotaan
500.11.23.1;Manajemen dan rekayasa lalu lintas perkotaan
500.11.23.2;Manajemen dan rekayasa lalu lintas perkotaan di jalan nasional dalam kawasan  perkotaan
500.11.23.3;Penanganan lalu lintas perkotaan berbasis teknologi di wilayah 
500.11.24;Angkutan Perkotaan
500.11.24.1;Penyelenggaraan angkutan perkotaan dalam trayek
500.11.24.2;Jaringan trayek perkotaan
500.11.24.3;Penentuan dan pemenuhan alokasi kebutuhan angkutan perkotaan dalam trayek yang wilayah pelayanannya melebihi satu wilayah administrasi provinsi
500.11.25;Pengaduan Moda Transportasi Perkotaan  
500.11.25.1;Penyelenggaraan angkutan perkotaan tidak dalam trayek untuk angkutan penumpang dan/atau barang
500.11.25.2;Pengaduan moda transportasi perkotaan yang menghubungkan antar simpul (bandara, pelabuhan, stasiun, dan terminal) di kawasan perkotaan yang melebihi satu wilayah administrasi provinsi
500.11.25.3;Penentuan dan pemenuhan alokasi kebutuhan angkutan perkotaan tidak dalam trayek yang wilayah pelayanannya melebihi satu wilayah administrasi provinsi 
500.11.26;Dampak Transportasi Perkotaan
500.11.26.1;Penyelenggaraan transportasi perkotaan berwawasan lingkungan
500.11.26.2;Penanganan dampak transportasi di kawasan perkotaan
500.11.26.3;Masterplan pengembangan teknologi transportasi ramah lingkungan
500.11.26.4;Pelaksanaan analisis dampak lalu lintas di jalan nasional dalam kawasan kota
500.11.26.5;Rekomendasi hasil analisis dampak lalu lintas di jalan nasional dalam kawasan perkotaan  
500.11.26.6;Masterplan transportasi perkotaan
500.11.27;Monitoring dan Evaluasi Manajemen Keselamatan
500.11.27.1;Monitoring dan evaluasi data kecelakaan
500.11.27.2;Kualifikasi unit pengkajian
500.11.27.3;Pengembangan sistem informasi manajemen keselamatan lalu lintas dan angkutan jalan, sungai, danau dan penyeberangan
500.11.28;Pengembangan Keselamatan
500.11.28.1;Program keselamatan lalu lintas dan angkutan jalan, sungai, danau, dan penyeberangan
500.11.28.2;Harmonisasi kebijakan
500.11.29;Promosi dan Kemitraan Keselamatan
500.11.29.1;Promosi Keselamatan : penyuluhan, publikasi dan destinasi keselamatan lalu lintas dan angkutan jalan, sungai, danau dan penyeberangan
500.11.29.2;Kemitraan keselamatan antar lembaga dan masyarakat di bidang keselamatan lalu lintas dan angkutan jalan, sungai, danau dan penyeberangan 
500.11.30;Bina Keselamatan Angkutan Umum
500.11.30.1;Keselamatan Pengusahaan Angkutan Umum 
500.11.30.2;Keselamatan Awak Angkutan Umum dan awak kapal sungai dan danau
500.11.31;Audit Keselamatan
500.11.31.1;Pedoman audit keselamatan sarana, prasarana, sumber daya manusia
500.11.31.2;Identifikasi daerah rawan kecelakaan jalan dan pelaku transportasi jalan dan sungai, danau dan penyeberangan
500.11.31.3;Audit faktor keselamatan lalu lintas dan angkutan jalan, sungai, danau dan penyeberangan serta laik fungsi jalan
500.11.32;Inspeksi Keselamatan 
500.11.32.1;Pedoman keselamatan
500.11.32.2;Inspeksi keselamatan sarana, prasarana, sumber daya manusia, dan pelaku transportasi jalan dan sungai, danau dan penyeberangan
500.11.32.3;Investigasi kecelakaan sungai, danau dan penyeberangan serta laik fungsi jalan
500.11.33;Parkir
500.11.33.1;Surat Tugas Juru Parkir 
500.11.33.2;Izin tempat khusus parkir swasta 
500.11.33.3;Surat Tugas TKP Pemerintah
500.12;KOMUNIKASI DAN INFORMATIKA
500.12.1;Kebijakan di bidang Komunikasi dan Informatika yang dilakukan oleh Pemerintah Daerah                 
500.12.2;Telekomunikasi
500.12.2.1;Layanan Jaringan Telekomunikasi
500.12.2.2;Layanan Jasa Telekomunikasi
500.12.2.3;Penomoran Telekomunikasi dan Informatika
500.12.2.4;Kelayakan Sistem Telekomunikasi
500.12.3;Penyiaran
500.12.3.1;Pemetaan Penyelenggaraan Radio dan Televisi
500.12.3.2;Database Penyelenggaraan Radio dan Televisi
500.12.4;Telekomunikasi Khusus, Penyiaran Publik dan Kewajiban Universal
500.12.4.1;Telekomunikasi Khusus Pemerintah Daerah
500.12.4.2;Telekomunikasi Khusus Non Pemerintah Daerah
500.12.4.3;Layanan Khusus Penyiaran
500.12.4.4;Pelayanan Kewajiban Universal
500.12.4.5;Pengembangan Infrastruktur
500.12.5;Pengendalian Informatika
500.12.5.1;Monitoring dan Evaluasi Jaringan Telekomunikasi
500.12.5.2;Monitoring dan Evaluasi Jasa Telekomunikasi
500.12.5.3;Monitoring dan Evaluasi Penyiaran
500.12.5.4;Pencegahan dan Penertiban
500.12.6;e- Government
500.12.6.1;Tata Kelola e-Government
500.12.6.2;Teknologi dan Infrastruktur e-Government
500.12.6.3;Interoperabilitas dan Interkonektivitas e-Government
500.12.6.4;Aplikasi Layanan Kepemerintahan 
500.12.6.5;Aplikasi Layanan Publik
500.12.7;e- Business
500.12.7.1;Tata Kelola e-Business
500.12.7.2;Teknologi dan Infrastruktur e-Business
500.12.7.3;Interoperabilitas dan Interkonektivitas e-Business
500.12.7.4;Aplikasi Layanan e-Busniness
500.12.8;Pemberdayaan Informatika Masyarakat
500.12.8.1;Pemberdayaan Informatika Masyarakat Perkotaan
500.12.8.2;Pemberdayaan Informatika Masyarakat Pedesaan
500.12.9;Pemberdayaan Industri Informatika
500.12.9.1;Industri Infrastruktur dan Layanan Aplikasi Informatika
500.12.9.2;Industri Perangkat Informatika Pengguna
500.12.9.3;Industri Perangkat Lunak
500.12.9.4;Industri Konten Multimedia
500.12.10;Keamanan Informasi
500.12.10.1;Tata Kelola Keamanan Informasi
500.12.10.2;Teknologi Keamanan Informasi
500.12.10.3;Monitoring, Evaluasi dan Tanggap Darurat Keamanan Informasi
500.12.10.4;Penyidikan dan Penindakan
500.12.10.5;Budaya Keamanan Informasi
500.12.11;Komunikasi Publik
500.12.11.1;Tata Kelola Komunikasi Publik
500.12.11.2;Pengelolaan Opini Publik
500.12.11.3;Layanan Komunikasi Publik
500.12.12;Pengolahan dan Penyediaan Informasi
500.12.12.1;Informasi Politik, Hukum, dan Keamanan
500.12.12.2;Informasi Perekonomian
500.12.12.3;Informasi Kesejahteraan Rakyat
500.12.13;Pengelolaan Media Publik
500.12.13.1;Media Cetak
500.12.13.2;Media Online
500.12.13.3;Media Luar Ruang dan Audio Visual
500.12.14;Kemitraan Komunikasi
500.12.14.1;Kemitraan Pemerintah dan Lembaga Negara
500.12.14.2;Kemitraan Media dan Dunia Usaha
500.12.14.3;Kemitraan Organisasi Kemasyarakatan dan Profesi
500.12.15;Infrastruktur Informatika
500.12.15.1;Jaringan
500.12.15.2;Piranti Teknologi Informatika
500.12.15.3;Keamanan Informatika
500.12.16;Sistem dan Data
500.12.16.1;Portal dan Konten
500.12.16.2;Pengumpulan dan Pengolahan Data
500.12.16.3;Pengembangan Aplikasi
500.12.17;Pusat Kerjasama
500.12.17.1;Kerja Sama daerah
500.12.17.2;Kerja Sama Bilateral
500.12.18;Pusat Informasi dan Hubungan Masyarakat
500.12.18.1;Pelayanan Informasi
500.12.18.2;Hubungan Masyarakat
500.12.18.3;Bimbingan Teknis
500.12.19;Evaluasi
500.13;PARIWISATA DAN EKONOMI KREATIF
500.13.1;Kebijakan di bidang Pariwisata dan Ekonomi Kreatif yang dilakukan oleh Pemerintah Daerah
500.13.2;Pengembangan Destinasi Wisata
500.13.2.1;Perancangan Destinasi dan Investasi Pariwisata
500.13.2.2;Pengembangan Daya Tarik Wisata
500.13.2.3;Industri Pariwisata
500.13.2.4;Pemberdayaan Masyarakat Destinasi Pariwisata
500.13.2.5;Pengembangan Wisata Minat Khusus, Konvensi, Insentif, dan Event
500.13.3;Pemasaran Pariwisata
500.13.3.1;Pengembangan Pasar dan Informasi Pariwisata
500.13.3.2;Promosi Pariwisata Luar Negeri
500.13.3.3;Promosi Pariwisata Dalam Negeri
500.13.3.4;Pencitraan Indonesia
500.13.4;Ekonomi Kreatif Berbasis Seni dan Budaya
500.13.4.1;Pengembangan industri Perfilman
500.13.4.2;Pengembangan Seni Pertunjukan dan Industri Musik
500.13.4.3;Pengembangan Seni Rupa
500.13.5;Ekonomi Kreatif Berbasi Media, Desain, dan IPTEK
500.13.5.1;Pengembangan Ekonomi Kreatif Berbasis Media
500.13.5.2;Desain dan Arsitektur
500.13.5.3;Kerjasama dan Fasilitasi
500.13.6;Pengembangan Sumber Daya Pariwisata dan Ekonomi Kreatif
500.13.6.1;Penelitian dan Pengembangan Kebijakan Kepariwisataan
500.13.6.2;Penelitian dan Pengembangan Kebijakan Ekonomi Kreatif
500.13.6.3;Pengembangan SDM Kepariwisataan dan Ekonomi Kreatif
500.13.6.4;Kompetensi Kepariwisataan dan Ekonomi Kreatif
500.14;STATISTIK
500.14.1;Kebijakan di bidang Statistik yang dilakukan oleh Pemerintah Daerah
500.14.2;Sensus Penduduk, Pertanian, dan Ekonomi
500.14.2.1;Perencanaan
500.14.2.2;Persiapan, Antara lain: Penyusunan rancangan organisasi kegiatan sensus, Penyusunan Kuesioner, Penyusunan konsep dan definisi, Penyusunan metodologi (cakupan, organisasi, lapangan, ukuran statistik, prosedur), Penyusunan buku pedoman (pencacahan, pengawasan, pengolahan), Penyusunan peta wilayah kerja dan muatan peta wilayah, Penyusunan pedoman sosialisasi, Sosialisasi kegiatan kepada stakeholder dan sumber data (leaflet, poster, pertemuan), Pelaksanaan pertemuan koordinasi (intern dan ekstern), Pelaksanaan pelatihan instruktur (TOT), Pelaksanaan pelatihan petugas, Penyusunan program pengolahan (rule validasi, pemeriksaan data entri, tabulasi), Pelatihan petugas pengolahan, Perancangan tabel, Pelaksanaan Ujicoba
500.14.2.3;Pelaksanaan Lapangan
500.14.2.4;Pengolahan, Antara lain: Pengelolaan dokumen (penerimaan/ pengiriman, pengelompokkan/Batching), Pemeriksaan dokumen dan pengkodean (Editing/Coding), Perekaman data (entri, scanner), Tabulasi Data, Pemeriksaan tabulasi, Laporan konsistensi tabulasi
500.14.2.5;Analisis dan Penyajian Hasil Sensus
500.14.2.6;Diseminasi hasil sensus
500.14.3.1;Perencanaan
500.14.3.2;Persiapan
500.14.3.3;Pelaksanaan Lapangan, Antara lain: Pelaksanaan listing, Pemilihan sampel, Pengumpulan data, Pemeriksaan, Pengawasan Lapangan, Monitoring kualitas
500.14.3.4;Pengolahan, Antara lain: Pengelolaan dokumen (penerimaan/ pengiriman, pengelompokkan/ Batching), Pemeriksaan dokumen dan pengkodean (Editing/Coding), Perekaman data (entri, scanner ), Tabulasi Data, Pemeriksaan tabulasi, Laporan konsistensi tabulasi
500.14.3.5;Analisis dan Penyajian Hasil Survei, Antara lain: Pembahasan angka hasil pengolahan, Penyusunan 
500.14.3.6;Diseminasi hasil Survei
500.14.4;KonsolidasiI Data Statistik
500.14.4.1;Kompilasi Data
500.14.4.2;Analisis data
500.14.4.3;Penyusunan Publikasi
500.14.5;Evaluasi dan Pelaporan Sensus, Survei, dan Konsolidasi Data Statistik
500.15;KETENAGAKERJAAN
500.15.1;Kebijakan di bidang Ketenagakerjaan yang dilakukan oleh Pemerintah Daerah
500.15.2;Perencanaan Tenaga Kerja 
500.15.2.1;Perencanaan Tenaga Kerja Perusahaan Pemerintah
500.15.2.2;Perencanaan Tenaga Kerja Perusahaan Swasta
500.15.3;Pengembangan Standarisasi Kompetensi
500.15.3.1;Penerapan Standar Kompetensi
500.15.3.2;Pengembangan Standarisasi Kompetensi
500.15.3.3;Pengembangan Program Pelatihan Ketenagakerjaan
